Product,Sub-product,Issue,Sub-issue,Complaint,Company,State,Submitted via,Company response to consumer,Timely response?,Cleaned_Complaint
Debt collection,Non-federal student loan,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"I am a victim of identity theft and I do not owe for this debt. A representative from Capital Management Services , LP continuously called me back and informed me that the FBI would arrest me and I would not be able to get and bank loan or federal student loan from the government ever again, if I do n't pay this debt. 
","Capital Management Services, LP",MN,Web,Closed,Yes,victim identity theft owe debt representative capital management service lp continuously called back informed fbi would arrest would able get bank loan federal student loan government ever nt pay debt
Credit reporting,,Incorrect information on credit report,Information is not mine,"There is an acct. Listed as being "" open and in collection '' on my credit report. The collection company is XXXX most and they list the original creditor as XXXX XXXX dvd. I have never done business of any sort with XXXX XXXX dvd, in fact I have never even owned a dvd player. The claim that I owe them money is completely erroneous and should be removed from my credit report. 
","TransUnion Intermediate Holdings, Inc.",DC,Web,Closed with explanation,Yes,acct listed open collection credit report collection company xxxx list original creditor xxxx xxxx dvd never done business sort xxxx xxxx dvd fact never even owned dvd player claim owe money completely erroneous removed credit report
Credit reporting,,Incorrect information on credit report,Information is not mine,"REFERENCE : XXXX XXXXWhen I was deployed XXXX, my social security number was used by another to obtain a credit card. The card was opened "" in-store '' and not online XXXX. I was in XXXX. It was impossible for me to open the credit card, there is no XXXX XXXX store XXXX. 
I have explained this to XXXX XXXX because they operate the XXXX XXXX card. I have given XXXX XXXX XXXX ( XXXX ) a copy of the police report. They refuse to take the credit card out of my name and insists on assigning this debt to me. 
Whenever I get this matter resolved with the credit reporting agency, XXXX changes the account number and reassigns the account to me under a different number. However, since I have NEVER NEVER applied for a XXXX -- they have no authorization to associate my identity with their business. They need to close this account and quit reporting the account as belonging to me. 
Attached are : my orders showing my deployment XXXX, a copy of the police report, and an Experian credit report. 
",Experian,AP,Web,Closed with non-monetary relief,Yes,reference xxxx xxxxwhen deployed xxxx social security number used another obtain credit card card opened instore online xxxx xxxx impossible open credit card xxxx xxxx store xxxx explained xxxx xxxx operate xxxx xxxx card given xxxx xxxx xxxx xxxx copy police report refuse take credit card name insists assigning debt whenever get matter resolved credit reporting agency xxxx change account number reassigns account different number however since never never applied xxxx authorization associate identity business need close account quit reporting account belonging attached order showing deployment xxxx copy police report experian credit report
Bank account or service,Checking account,"Account opening, closing, or management",,"I applied for a Citigold Checking Account on XXXX XXXX, XXXX with a promotional offer to receive XXXX upon completion of the requirements ( {$1000.00} debit card spend, 2 monthly bill pays in sequential months ). I completed the requirements in XXXX, but never received my points, despite the the disclosure stating that I would receive the points within 90 days of fulfilling the requirements ( approximately XXXX ). I spoke to a Citi representative via the online chat on XXXX XXXX, XXXX who opened an investigation. However, this investigation still has not been completed as of XXXX XXXX, XXXX, and I 've had to pay an additional XXXX monthly fee. Messages from Citibank have confirmed that I have met the requirements but claim that I am not elegible, despite the offer being active on my account.",Citibank,WI,Web,Closed with monetary relief,Yes,applied citigold checking account xxxx xxxx xxxx promotional offer receive xxxx upon completion requirement debit card spend monthly bill pay sequential month completed requirement xxxx never received point despite disclosure stating would receive point within day fulfilling requirement approximately xxxx spoke citi representative via online chat xxxx xxxx xxxx opened investigation however investigation still completed xxxx xxxx xxxx pay additional xxxx monthly fee message citibank confirmed met requirement claim elegible despite offer active account
Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called after sent written cease of comm,"Unannounced, they came into our place of business and started taking pictures. We are not a public-facing company. We are a private call center. They startled my employees. Would n't leave when asked. One girl went home crying. We threatened to call police and they said they had the right to be here. We started calling police and they left real fast. 
","VeriCore, LLC",FL,Web,Closed with explanation,Yes,unannounced came place business started taking picture publicfacing company private call center startled employee would nt leave asked one girl went home cry threatened call police said right started calling police left real fast
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt resulted from identity theft,"The Chargeback / Dispute policies of PayPal have taken my account to over negative $ XXXX dollars and now they 're turning me over to a collection agency. 

I 've been a member of PayPal for many years. I 've never had an issue until now. My ex-roommate moved out owing me over {$13000.00} in XXXX of 2016. She moved back home with her parents. Her father gave her access to his credit card. Between XXXX and XXXX she was paying on what she owed by making payments through PayPal. After making several payments, she got into an argument with her Father. He was mad and started disputing the payments she made with his bank. His bank generated a dispute for each of the payments in her name. They said she disputed the payments. I immediately tried to resolve the issue by working with her. She accepted full responsibility for the chargebacks and admitted I was not at fault. She submitted a notarized letter stating that. She 's made several attempts to address the issues via calls and emails, but no matter what she did, they could n't do anything. They have no process or procedures in place to resolve issues with the buyer 's bank when the buyer is at fault. PayPal did n't do anything to meet her request and transfer the debt. From my side of the transactions, I 've done everything I could to show them, the payments were valid and it was a personal transaction and not something bought and sold. PayPal 's chargeback and disputes department said ; they would present the information to the bank. They said ; since the PayPal account owner admits the charges were valid and stated she was authorized by her dad 's card, that I did n't need to worry. Eventually, the first set of chargebacks were closed against me. They said they would appeal the banks decision. More and more chargebacks were closed against me and I asked for a contact and the name of the bank. I was denied this information and was left helpless to resolve the issues. I did n't know the bank, whose card was used, or a single contact to address the issue. PayPal said they protect that information, but they still expect me to accept responsibility. The result is ; my exroommate committed fraud and identity theft and I 'm being held responsible for her illegal activity. PayPal 's expects me to pay over {$6000.00} for an issue they did n't help me resolve. Their reason for not supporting me, is these transactions are n't covered by "" seller protection policy ''. PayPal said they have no way to transfer the debt to the buyer, even though she is at fault and accepted responsibility. Because of PayPal 's inability to place responsibility on the person at fault, they 're attempting to collect from me without providing any support or opportunity to address the issue with the bank making this claim. 


If you do business on PayPal and someone buys merchandise with a stolen card, you are responsible to pay back the amount of the transactions made and you wo n't have access to the funds to run your business. No matter what, because someone broke the law, the company that says they 'll protect you, holds you responsible to pay.","PayPal Holdings, Inc.",OH,Web,Closed with explanation,Yes,chargeback dispute policy paypal taken account negative xxxx dollar turning collection agency member paypal many year never issue exroommate moved owing xxxx moved back home parent father gave access credit card xxxx xxxx paying owed making payment paypal making several payment got argument father mad started disputing payment made bank bank generated dispute payment name said disputed payment immediately tried resolve issue working accepted full responsibility chargebacks admitted fault submitted notarized letter stating made several attempt address issue via call email matter could nt anything process procedure place resolve issue buyer bank buyer fault paypal nt anything meet request transfer debt side transaction done everything could show payment valid personal transaction something bought sold paypal chargeback dispute department said would present information bank said since paypal account owner admits charge valid stated authorized dad card nt need worry eventually first set chargebacks closed said would appeal bank decision chargebacks closed asked contact name bank denied information left helpless resolve issue nt know bank whose card used single contact address issue paypal said protect information still expect accept responsibility result exroommate committed fraud identity theft held responsible illegal activity paypal expects pay issue nt help resolve reason supporting transaction nt covered seller protection policy paypal said way transfer debt buyer even though fault accepted responsibility paypal inability place responsibility person fault attempting collect without providing support opportunity address issue bank making claim business paypal someone buy merchandise stolen card responsible pay back amount transaction made wo nt access fund run business matter someone broke law company say protect hold responsible pay
Credit reporting,,Incorrect information on credit report,Information is not mine,"Someone used my Identity to open a line with XXXX XXXX, I fought the dispute thru my Life Lock account and they contacted XXXX and after much research XXXX determined It is not my account and I had no charges. XXXX sent me an email with conf # XXXX saying they will send it to all XXXX credit companies. I am still disputing this with equifax and I do n't know if its also on XXXX. Equinox says its still showing and it wo n't go away in 2 years? they should remove it because its hurting my score. 
",Equifax,FL,Web,Closed with explanation,Yes,someone used identity open line xxxx xxxx fought dispute thru life lock account contacted xxxx much research xxxx determined account charge xxxx sent email conf xxxx saying send xxxx credit company still disputing equifax nt know also xxxx equinox say still showing wo nt go away year remove hurting score
Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"National Credit Systems is trying to collect a debt from an apartment rental that I do not owe. When I left the apartment I was renting I did a final walk through and was told I was good to go. Now I have a collection on my credit report which I was never notified that it was a discrepancy or debt that needed to be resolve from the original creditor or collection agency, just a sudden appearance on my credit report. After contacting the credit agency I requested documentation and proof of what this debt is for and never received any letter or notification stating the debt. I called back several times and spoke with I believe bryan and he would either not be at his desk or would say he was sending many information but never sent it. I do not owe this debt and do not feel it is fair to report to credit bureau especially without notifying me first and giving me time to resolve the issue. I disputed with credit bureau but they stated that National credit systems still says its mines and I should file a complaint with consumer finance. 
","National Credit Systems,Inc.",GA,Web,Closed with explanation,Yes,national credit system trying collect debt apartment rental owe left apartment renting final walk told good go collection credit report never notified discrepancy debt needed resolve original creditor collection agency sudden appearance credit report contacting credit agency requested documentation proof debt never received letter notification stating debt called back several time spoke believe bryan would either desk would say sending many information never sent owe debt feel fair report credit bureau especially without notifying first giving time resolve issue disputed credit bureau stated national credit system still say mine file complaint consumer finance
Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,"I called Porfolio Recovery Associates twice today to stop calling me and harassing my family. The person ( s ) name given who they were looking for was close to mine but not me. It 's happened before and I have had to go after those debt collectors for mistaking me as the person they are looking for and then harassing me even after I have proven I am not the person they are looking for. 
This company has been calling my number under a variety of caller id 's and different numbers. I have traced back to them for some time. They ring my home all hours. Today was the last straw as I have previously requested they stop calling me. I called in the XXXX today just after XXXX and requested they stop calling. They wanted to know if I was XXXX XXXX or XXXX other names of which none were. 
I told them I am familiar with their poor practices as they bought this XXXX debt for cents on the dollar just like the last company unless they are all the same just renaming themselves. The same company that called two decades ago started calling all over again and I had to file on them again. My name and number keeps getting sold to sleazebags like this who say will remove me from their list but they just sell it. 
I have had to go after XXXX for falsely accusing me as some XXXX woman they claimed was at my number but never was. 
25 years ago I took over this phone number from a male, who had it for a decade prior. He had no female associates or wives. 
I called PRA and I requested this afternoon to speak to their litigation department. I politely requested to have their mailing address and to record them but after 10 requests their attorney of representation would not give it to me. I gave her my phone number which she stated was NOT in their records.They have harassed me yet they CA N'T give me their mailing address so that I can send them a cease and desist letter??? That 's harassment also. 
I use a voice recording and call service that logs ALL calls including hangups. Several of the numbers will say PortfRecovery, or Account Services so I call them and ask them to stop calling. 

A couple of decades ago we started getting these calls. I helped the first firm ( I have the letter in a safety deposit box which I can provide if needed ) who were not to be dissuaded at first that they were close in name but it was not me nor my ss #. I wrote them a letter which I still have requesting they remove my information tied to that debt. 
PRA is now harassing me all over again. I have a spotless credit record. I am not the party they are looking for and I have requested they STOP calling me XXXX, even if it 's a different number they use, it 's the same company. I have logged their calls. 
I want no further contact by the business and that they destroy any reference to persons they associate with my number. And if they have a debt, it 's not mine as my stellar credit will attest to. They must destroy and never sell my information, address, telephone or any names they have associated with it to their subsidiaries, or sell off to. 
","Portfolio Recovery Associates, Inc.",CA,Web,Closed with explanation,Yes,called porfolio recovery associate twice today stop calling harassing family person name given looking close mine happened go debt collector mistaking person looking harassing even proven person looking company calling number variety caller id different number traced back time ring home hour today last straw previously requested stop calling called xxxx today xxxx requested stop calling wanted know xxxx xxxx xxxx name none told familiar poor practice bought xxxx debt cent dollar like last company unless renaming company called two decade ago started calling file name number keep getting sold sleazebags like say remove list sell go xxxx falsely accusing xxxx woman claimed number never year ago took phone number male decade prior female associate wife called pra requested afternoon speak litigation department politely requested mailing address record request attorney representation would give gave phone number stated recordsthey harassed yet ca nt give mailing address send cease desist letter harassment also use voice recording call service log call including hangups several number say portfrecovery account service call ask stop calling couple decade ago started getting call helped first firm letter safety deposit box provide needed dissuaded first close name s wrote letter still requesting remove information tied debt pra harassing spotless credit record party looking requested stop calling xxxx even different number use company logged call want contact business destroy reference person associate number debt mine stellar credit attest must destroy never sell information address telephone name associated subsidiary sell
Bank account or service,Other bank product/service,"Account opening, closing, or management",,"I 'm so sick of Bank Of America.constantly sneakily stealing money from their Customers! I have well over the min Balance to waive "" maintenance fees '' yet they still once in.a while.sneakily Charge me. The min balanceone should have is XXXX and I have almost XXXX. It 's ridiculous. They need to be investigated because they do this too many people knowingly! If you do n't thoroughly inspect your back statements, you may unwilling be giving your money away to them. If course back of Ameeica customer service is almost non existence as well! They give you numbers to call, mainly wrong numbers and do nothing to fix the issue 
",Bank of America,NC,Web,Closed with monetary relief,Yes,sick bank americaconstantly sneakily stealing money customer well min balance waive maintenance fee yet still ina whilesneakily charge min balanceone xxxx almost xxxx ridiculous need investigated many people knowingly nt thoroughly inspect back statement may unwilling giving money away course back ameeica customer service almost non existence well give number call mainly wrong number nothing fix issue
Mortgage,Conventional fixed mortgage,Settlement process and costs,,"A foreclosure was started in the court system on my home XX/XX/XXXX and the other party dismissed XX/XX/XXXX without prejudice and the servicing was sold to Ocwen from Litton, Ocwen started the modification nightmare with me and finally realized it was way too long of time that had lapsed so here we are over XXXX years later and they called my work and left message for me to call them. I called them back they are telling me they want to work out a resolution with me that lien is pending and that I might not necessarily have to pay the full outstanding balance that I could try for a settlement which would be subject to approval? Are you kidding me after all this time, is this a joke. 
Thank you 
",Ocwen,FL,Web,Closed with explanation,Yes,foreclosure started court system home xxxxxxxx party dismissed xxxxxxxx without prejudice servicing sold ocwen litton ocwen started modification nightmare finally realized way long time lapsed xxxx year later called work left message call called back telling want work resolution lien pending might necessarily pay full outstanding balance could try settlement would subject approval kidding time joke thank
Credit card,,Billing statement,,"I was told over the phone and I received a letter from Exxon Mobil stating that my credit card did not charge annual fees. At that time my card had a XXXX balance. XXXX month later I was charged an annual fee of {$29.00}. I did not pay pending a reversal of that fee. I was refunded {$24.00} leaving me with a balance of {$4.00} and subsequently charged a {$2.00} fee for non payment of the {$4.00} and charged another {$2.00} fee on the following month. All due to an annual fee I was told I would not incurr. They refused to refund the late fees and I was forced to close the account so as not to incurr in further fees, or forced to pay the illegal fee charge. 
",Citibank,NY,Web,Closed with non-monetary relief,Yes,told phone received letter exxon mobil stating credit card charge annual fee time card xxxx balance xxxx month later charged annual fee pay pending reversal fee refunded leaving balance subsequently charged fee non payment charged another fee following month due annual fee told would incurr refused refund late fee forced close account incurr fee forced pay illegal fee charge
